wkt_geom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,xcoord,ycoord
Point (11699505.91537001170217991 1485240.35880533838644624),26,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485240.359
Point (11699505.91537001170217991 1485140.35880533838644624),27,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485140.359
Point (11699505.91537001170217991 1485040.35880533838644624),28,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485040.359
Point (11699505.91537001170217991 1484940.35880533838644624),29,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484940.359
Point (11699405.91537001170217991 1484740.35880533838644624),11,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484740.359
Point (11699405.91537001170217991 1484640.35880533838644624),12,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484640.359
Point (11699505.91537001170217991 1485440.35880533838644624),24,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485440.359
Point (11699505.91537001170217991 1485340.35880533838644624),25,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1485340.359
Point (11699405.91537001170217991 1485140.35880533838644624),7,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485140.359
Point (11699405.91537001170217991 1485040.35880533838644624),8,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485040.359
Point (11699405.91537001170217991 1484940.35880533838644624),9,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484940.359
Point (11699405.91537001170217991 1484840.35880533838644624),10,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1484840.359
Point (11699405.91537001170217991 1485440.35880533838644624),4,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485440.359
Point (11699405.91537001170217991 1485340.35880533838644624),5,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485340.359
Point (11699405.91537001170217991 1485240.35880533838644624),6,171.3918142,Avocado,A,3,,c,A3-c,11699405.92,1485240.359
Point (11699605.91537001170217991 1485340.35880533838644624),45,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485340.359
Point (11699605.91537001170217991 1485240.35880533838644624),46,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485240.359
Point (11699605.91537001170217991 1485140.35880533838644624),47,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485140.359
Point (11699605.91537001170217991 1485040.35880533838644624),48,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485040.359
Point (11699505.91537001170217991 1484040.35880533838644624),38,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484040.359
Point (11699505.91537001170217991 1483940.35880533838644624),39,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1483940.359
Point (11699605.91537001170217991 1485540.35880533838644624),43,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485540.359
Point (11699605.91537001170217991 1485440.35880533838644624),44,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1485440.359
Point (11699505.91537001170217991 1484440.35880533838644624),34,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484440.359
Point (11699505.91537001170217991 1484340.35880533838644624),35,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484340.359
Point (11699505.91537001170217991 1484240.35880533838644624),36,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484240.359
Point (11699505.91537001170217991 1484140.35880533838644624),37,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484140.359
Point (11699505.91537001170217991 1484840.35880533838644624),30,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484840.359
Point (11699505.91537001170217991 1484740.35880533838644624),31,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484740.359
Point (11699505.91537001170217991 1484640.35880533838644624),32,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484640.359
Point (11699505.91537001170217991 1484540.35880533838644624),33,171.3918142,Avocado,A,3,,c,A3-c,11699505.92,1484540.359
Point (11699705.91537001170217991 1485440.35880533838644624),64,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485440.359
Point (11699705.91537001170217991 1485340.35880533838644624),65,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485340.359
Point (11699705.91537001170217991 1485240.35880533838644624),66,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485240.359
Point (11699705.91537001170217991 1485140.35880533838644624),67,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485140.359
Point (11699605.91537001170217991 1484140.35880533838644624),57,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484140.359
Point (11699605.91537001170217991 1484040.35880533838644624),58,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484040.359
Point (11699605.91537001170217991 1483940.35880533838644624),59,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1483940.359
Point (11699705.91537001170217991 1485540.35880533838644624),63,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485540.359
Point (11699605.91537001170217991 1484540.35880533838644624),53,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484540.359
Point (11699605.91537001170217991 1484440.35880533838644624),54,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484440.359
Point (11699605.91537001170217991 1484340.35880533838644624),55,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484340.359
Point (11699605.91537001170217991 1484240.35880533838644624),56,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484240.359
Point (11699605.91537001170217991 1484940.35880533838644624),49,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484940.359
Point (11699605.91537001170217991 1484840.35880533838644624),50,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484840.359
Point (11699605.91537001170217991 1484740.35880533838644624),51,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484740.359
Point (11699605.91537001170217991 1484640.35880533838644624),52,171.3918142,Avocado,A,3,,c,A3-c,11699605.92,1484640.359
Point (11699805.91537001170217991 1485440.35880533838644624),84,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485440.359
Point (11699805.91537001170217991 1485340.35880533838644624),85,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485340.359
Point (11699805.91537001170217991 1485240.35880533838644624),86,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485240.359
Point (11699805.91537001170217991 1485140.35880533838644624),87,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485140.359
Point (11699705.91537001170217991 1484240.35880533838644624),76,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484240.359
Point (11699705.91537001170217991 1484140.35880533838644624),77,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484140.359
Point (11699805.91537001170217991 1485640.35880533838644624),82,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485640.359
Point (11699805.91537001170217991 1485540.35880533838644624),83,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485540.359
Point (11699705.91537001170217991 1484640.35880533838644624),72,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484640.359
Point (11699705.91537001170217991 1484540.35880533838644624),73,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484540.359
Point (11699705.91537001170217991 1484440.35880533838644624),74,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484440.359
Point (11699705.91537001170217991 1484340.35880533838644624),75,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484340.359
Point (11699705.91537001170217991 1485040.35880533838644624),68,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1485040.359
Point (11699705.91537001170217991 1484940.35880533838644624),69,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484940.359
Point (11699705.91537001170217991 1484840.35880533838644624),70,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484840.359
Point (11699705.91537001170217991 1484740.35880533838644624),71,171.3918142,Avocado,A,3,,c,A3-c,11699705.92,1484740.359
Point (11699905.91537001170217991 1485440.35880533838644624),104,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485440.359
Point (11699905.91537001170217991 1485340.35880533838644624),105,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485340.359
Point (11699905.91537001170217991 1485240.35880533838644624),106,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485240.359
Point (11699905.91537001170217991 1485140.35880533838644624),107,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485140.359
Point (11699805.91537001170217991 1484240.35880533838644624),96,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484240.359
Point (11699905.91537001170217991 1485740.35880533838644624),101,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485740.359
Point (11699905.91537001170217991 1485640.35880533838644624),102,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485640.359
Point (11699905.91537001170217991 1485540.35880533838644624),103,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485540.359
Point (11699805.91537001170217991 1484640.35880533838644624),92,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484640.359
Point (11699805.91537001170217991 1484540.35880533838644624),93,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484540.359
Point (11699805.91537001170217991 1484440.35880533838644624),94,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484440.359
Point (11699805.91537001170217991 1484340.35880533838644624),95,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484340.359
Point (11699805.91537001170217991 1485040.35880533838644624),88,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1485040.359
Point (11699805.91537001170217991 1484940.35880533838644624),89,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484940.359
Point (11699805.91537001170217991 1484840.35880533838644624),90,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484840.359
Point (11699805.91537001170217991 1484740.35880533838644624),91,171.3918142,Avocado,A,3,,c,A3-c,11699805.92,1484740.359
Point (11700005.91537001170217991 1485340.35880533838644624),125,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485340.359
Point (11700005.91537001170217991 1485240.35880533838644624),126,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485240.359
Point (11700005.91537001170217991 1485140.35880533838644624),127,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485140.359
Point (11700005.91537001170217991 1485040.35880533838644624),128,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485040.359
Point (11700005.91537001170217991 1485740.35880533838644624),121,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485740.359
Point (11700005.91537001170217991 1485640.35880533838644624),122,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485640.359
Point (11700005.91537001170217991 1485540.35880533838644624),123,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485540.359
Point (11700005.91537001170217991 1485440.35880533838644624),124,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1485440.359
Point (11699905.91537001170217991 1484640.35880533838644624),112,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484640.359
Point (11699905.91537001170217991 1484540.35880533838644624),113,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484540.359
Point (11699905.91537001170217991 1484440.35880533838644624),114,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484440.359
Point (11699905.91537001170217991 1484340.35880533838644624),115,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484340.359
Point (11699905.91537001170217991 1485040.35880533838644624),108,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1485040.359
Point (11699905.91537001170217991 1484940.35880533838644624),109,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484940.359
Point (11699905.91537001170217991 1484840.35880533838644624),110,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484840.359
Point (11699905.91537001170217991 1484740.35880533838644624),111,171.3918142,Avocado,A,3,,c,A3-c,11699905.92,1484740.359
Point (11700105.91537001170217991 1485240.35880533838644624),146,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485240.359
Point (11700105.91537001170217991 1485140.35880533838644624),147,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485140.359
Point (11700105.91537001170217991 1485040.35880533838644624),148,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485040.359
Point (11700105.91537001170217991 1484940.35880533838644624),149,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484940.359
Point (11700105.91537001170217991 1485640.35880533838644624),142,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485640.359
Point (11700105.91537001170217991 1485540.35880533838644624),143,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485540.359
Point (11700105.91537001170217991 1485440.35880533838644624),144,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485440.359
Point (11700105.91537001170217991 1485340.35880533838644624),145,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485340.359
Point (11700005.91537001170217991 1484540.35880533838644624),133,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484540.359
Point (11700005.91537001170217991 1484440.35880533838644624),134,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484440.359
Point (11700005.91537001170217991 1484340.35880533838644624),135,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484340.359
Point (11700105.91537001170217991 1485740.35880533838644624),141,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1485740.359
Point (11700005.91537001170217991 1484940.35880533838644624),129,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484940.359
Point (11700005.91537001170217991 1484840.35880533838644624),130,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484840.359
Point (11700005.91537001170217991 1484740.35880533838644624),131,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484740.359
Point (11700005.91537001170217991 1484640.35880533838644624),132,171.3918142,Avocado,A,3,,c,A3-c,11700005.92,1484640.359
Point (11700205.91537001170217991 1485140.35880533838644624),167,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485140.359
Point (11700205.91537001170217991 1485040.35880533838644624),168,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485040.359
Point (11700205.91537001170217991 1484940.35880533838644624),169,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484940.359
Point (11700205.91537001170217991 1484840.35880533838644624),170,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484840.359
Point (11700205.91537001170217991 1485540.35880533838644624),163,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485540.359
Point (11700205.91537001170217991 1485440.35880533838644624),164,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485440.359
Point (11700205.91537001170217991 1485340.35880533838644624),165,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485340.359
Point (11700205.91537001170217991 1485240.35880533838644624),166,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485240.359
Point (11700105.91537001170217991 1484440.35880533838644624),154,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484440.359
Point (11700105.91537001170217991 1484340.35880533838644624),155,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484340.359
Point (11700205.91537001170217991 1485740.35880533838644624),161,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485740.359
Point (11700205.91537001170217991 1485640.35880533838644624),162,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1485640.359
Point (11700105.91537001170217991 1484840.35880533838644624),150,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484840.359
Point (11700105.91537001170217991 1484740.35880533838644624),151,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484740.359
Point (11700105.91537001170217991 1484640.35880533838644624),152,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484640.359
Point (11700105.91537001170217991 1484540.35880533838644624),153,171.3918142,Avocado,A,3,,c,A3-c,11700105.92,1484540.359
Point (11700305.91537001170217991 1484940.35880533838644624),189,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484940.359
Point (11700305.91537001170217991 1484840.35880533838644624),190,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484840.359
Point (11700305.91537001170217991 1484740.35880533838644624),191,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484740.359
Point (11700305.91537001170217991 1484640.35880533838644624),192,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484640.359
Point (11700305.91537001170217991 1485340.35880533838644624),185,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485340.359
Point (11700305.91537001170217991 1485240.35880533838644624),186,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485240.359
Point (11700305.91537001170217991 1485140.35880533838644624),187,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485140.359
Point (11700305.91537001170217991 1485040.35880533838644624),188,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485040.359
Point (11700205.91537001170217991 1484340.35880533838644624),175,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484340.359
Point (11700305.91537001170217991 1485640.35880533838644624),182,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485640.359
Point (11700305.91537001170217991 1485540.35880533838644624),183,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485540.359
Point (11700305.91537001170217991 1485440.35880533838644624),184,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1485440.359
Point (11700205.91537001170217991 1484740.35880533838644624),171,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484740.359
Point (11700205.91537001170217991 1484640.35880533838644624),172,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484640.359
Point (11700205.91537001170217991 1484540.35880533838644624),173,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484540.359
Point (11700205.91537001170217991 1484440.35880533838644624),174,171.3918142,Avocado,A,3,,c,A3-c,11700205.92,1484440.359
Point (11700505.91537001170217991 1484640.35880533838644624),232,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484640.359
Point (11700505.91537001170217991 1484540.35880533838644624),233,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484540.359
Point (11700505.91537001170217991 1484440.35880533838644624),234,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484440.359
Point (11700605.91537001170217991 1484940.35880533838644624),249,171.3918142,Avocado,A,3,,c,A3-c,11700605.92,1484940.359
Point (11700405.91537001170217991 1484440.35880533838644624),214,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484440.359
Point (11700505.91537001170217991 1484940.35880533838644624),229,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484940.359
Point (11700505.91537001170217991 1484840.35880533838644624),230,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484840.359
Point (11700505.91537001170217991 1484740.35880533838644624),231,171.3918142,Avocado,A,3,,c,A3-c,11700505.92,1484740.359
Point (11700405.91537001170217991 1484840.35880533838644624),210,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484840.359
Point (11700405.91537001170217991 1484740.35880533838644624),211,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484740.359
Point (11700405.91537001170217991 1484640.35880533838644624),212,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484640.359
Point (11700405.91537001170217991 1484540.35880533838644624),213,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484540.359
Point (11700305.91537001170217991 1484540.35880533838644624),193,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484540.359
Point (11700305.91537001170217991 1484440.35880533838644624),194,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484440.359
Point (11700305.91537001170217991 1484340.35880533838644624),195,171.3918142,Avocado,A,3,,c,A3-c,11700305.92,1484340.359
Point (11700405.91537001170217991 1484940.35880533838644624),209,171.3918142,Avocado,A,3,,c,A3-c,11700405.92,1484940.359
Point (11700805.91537001170217991 1484640.35880533838644624),292,171.3918142,Avocado,A,3,,c,A3-c,11700805.92,1484640.359
Point (11700905.91537001170217991 1484940.35880533838644624),309,171.3918142,Avocado,A,3,,c,A3-c,11700905.92,1484940.359
Point (11700905.91537001170217991 1484840.35880533838644624),310,171.3918142,Avocado,A,3,,c,A3-c,11700905.92,1484840.359
Point (11700905.91537001170217991 1484740.35880533838644624),311,171.3918142,Avocado,A,3,,c,A3-c,11700905.92,1484740.359
Point (11700705.91537001170217991 1484540.35880533838644624),273,171.3918142,Avocado,A,3,,c,A3-c,11700705.92,1484540.359
Point (11700805.91537001170217991 1484940.35880533838644624),289,171.3918142,Avocado,A,3,,c,A3-c,11700805.92,1484940.359
Point (11700805.91537001170217991 1484840.35880533838644624),290,171.3918142,Avocado,A,3,,c,A3-c,11700805.92,1484840.359
Point (11700805.91537001170217991 1484740.35880533838644624),291,171.3918142,Avocado,A,3,,c,A3-c,11700805.92,1484740.359
Point (11700705.91537001170217991 1484940.35880533838644624),269,171.3918142,Avocado,A,3,,c,A3-c,11700705.92,1484940.359
Point (11700705.91537001170217991 1484840.35880533838644624),270,171.3918142,Avocado,A,3,,c,A3-c,11700705.92,1484840.359
Point (11700705.91537001170217991 1484740.35880533838644624),271,171.3918142,Avocado,A,3,,c,A3-c,11700705.92,1484740.359
Point (11700705.91537001170217991 1484640.35880533838644624),272,171.3918142,Avocado,A,3,,c,A3-c,11700705.92,1484640.359
Point (11700605.91537001170217991 1484840.35880533838644624),250,171.3918142,Avocado,A,3,,c,A3-c,11700605.92,1484840.359
Point (11700605.91537001170217991 1484740.35880533838644624),251,171.3918142,Avocado,A,3,,c,A3-c,11700605.92,1484740.359
Point (11700605.91537001170217991 1484640.35880533838644624),252,171.3918142,Avocado,A,3,,c,A3-c,11700605.92,1484640.359
Point (11700605.91537001170217991 1484540.35880533838644624),253,171.3918142,Avocado,A,3,,c,A3-c,11700605.92,1484540.359
Point (11700905.91537001170217991 1484640.35880533838644624),312,171.3918142,Avocado,A,3,,c,A3-c,11700905.92,1484640.359
